app-a.lmt.lv 13.30.82.23 - - [28/Jun/2023:20:42:39 +0300] "POST /devices/shop_device_info HTTP/1.1" 200 7431 "-" "LMT"
pajauta.lmt.lv 87.226.7.50 - - [28/Jun/2023:20:42:39 +0300] "GET /lv/sakumlapa?p=mobile&u=https://www.lmt.lv/lv/telefons HTTP/1.1" 200 1376 "https://www.lmt.lv/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
pajauta.lmt.lv 87.226.7.50 - - [28/Jun/2023:20:42:39 +0300] "GET /css/vendor.css?id=d41d8cd98f00b204e980 HTTP/1.1" 200 1 "https://pajauta.lmt.lv/lv/sakumlapa?p=mobile&u=https://www.lmt.lv/lv/telefons" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
pajauta.lmt.lv 87.226.7.50 - - [28/Jun/2023:20:42:39 +0300] "GET /css/styles.css?id=ec526fcdc3889f6f5eb9 HTTP/1.1" 200 3988 "https://pajauta.lmt.lv/lv/sakumlapa?p=mobile&u=https://www.lmt.lv/lv/telefons" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
pajauta.lmt.lv 87.226.7.50 - - [28/Jun/2023:20:42:39 +0300] "GET /js/all.js?id=435d7de5becf72bd62b8 HTTP/1.1" 200 31491 "https://pajauta.lmt.lv/lv/sakumlapa?p=mobile&u=https://www.lmt.lv/lv/telefons" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
app-a.lmt.lv 10.120.82.23 - - [28/Jun/2023:20:42:39 +0300] "POST /devices/shop_device_info HTTP/1.1" 200 15346 "-" "LMT"
app-a.lmt.lv 192.158.34.11 - - [28/Jun/2023:20:20:34 +0300] "GET /api/menu/v1/menus HTTP/1.1" 500 83 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36 LMT-Web"
app-a.lmt.lv 192.158.34.11 - - [28/Jun/2023:20:24:53 +0300] "GET /api/menu HTTP/1.1" 500 44 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36 LMT-Web"
app-b.lmt.lv 10.120.82.23 - - [28/Jun/2023:20:32:12 +0300] "POST /devices/device_for_app-b HTTP/1.1" 403 500 "-" "LMT"
pajauta.lmt.lv 87.226.7.50 - - [28/Jun/2023:20:42:39 +0300] "GET /img/minimize_btn2.png HTTP/1.1" 200 973 "https://pajauta.lmt.lv/lv/sakumlapa?p=mobile&u=https://www.lmt.lv/lv/telefons" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
pajauta.lmt.lv 87.226.7.50 - - [28/Jun/2023:20:42:39 +0300] "GET /img/close_btn3.png?v=2 HTTP/1.1" 200 1174 "https://pajauta.lmt.lv/lv/sakumlapa?p=mobile&u=https://www.lmt.lv/lv/telefons" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
pajauta.lmt.lv 87.226.7.50 - - [28/Jun/2023:20:42:39 +0300] "POST /lv/get-messages HTTP/1.1" 200 58 "https://pajauta.lmt.lv/lv/sakumlapa?p=mobile&u=https://www.lmt.lv/lv/telefons" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
app-b.lmt.lv 89.254.130.171 - - [28/Jun/2023:20:42:39 +0300] "POST /lv/internet-traffic/ HTTP/1.1" 200 26 "https://app-b.lmt.lv/lv/sakumlapa" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/21.0 Chrome/110.0.5481.154 Safari/537.36"
